Protocolo,Data,Assunto,Situação,Regime,Autoria
00341/2024,09/02/2024,"Ao Excelentíssimo Prefeito Municipal de Capivari, para que, através da Secretaria competente, informe se existe estudos para realizar melhoriasno parquinho Gilson Gozzo,no Bairro Parque Residencial Santa Rita, Se sim, qual a previsão?",Aprovada,Ordinário,PALOMA TATIANE DA SILVA
00340/2024,08/02/2024,Solicita melhorias no asfalto da Rua Moises Biazzio - Bairro Moreto,Aprovada,Ordinário,PALOMA TATIANE DA SILVA
00332/2024,08/02/2024,"Solicita criação de lei municipal para conceder a crianças e adolescentes diabéticos, sensor e aparelho digital medidor de glicose",Aprovada,Ordinário,PALOMA TATIANE DA SILVA
00329/2024,08/02/2024,Solicita estudos para disponibilização de vagas para estacionamento sem tarifa e/ou vagas rápidas próximas ao posto de saúde central,Aprovada,Ordinário,PALOMA TATIANE DA SILVA
00328/2024,08/02/2024,"Solicita que o Poder Executivo informe se existe algum concurso vigente para a vaga de odontopediatria. Caso positivo, qual sua validade, e se existe intenção de nomeação de aprovados.",Aprovada,Ordinário,PALOMA TATIANE DA SILVA
00327/2024,08/02/2024,Solicita a limpeza da área verde do bairro Moreto,Aprovada,Ordinário,PALOMA TATIANE DA SILVA
00326/2024,08/02/2024,"Solicita vistoria em todas as rampas de acesso do município para saber se existe a necessidade de efetuar a manutenção no asfalto, para retirar o desnível que está prejudicando a locomoção de pessoas que utilizam a cadeira de rodas.",Aprovada,Ordinário,JEISELE RENATA ROSADA
00323/2024,08/02/2024,"Solicita manutenção efetiva na Rua Artur Nogueira da Motta, no bairro Chácara Bela Vista",Aprovada,Ordinário,VINÍCIUS SCARSO
00325/2024,08/02/2024,"Ao Excelentíssimo Prefeito Municipal de Capivari, para que, através da Secretaria competente, realize vistoria nas rampas de acesso em todo município para saber se existe a necessidade de manutenção no asfalto.",Aprovada,Ordinário,JEISELE RENATA ROSADA
00338/2024,08/02/2024,"Ao Excelentíssimo Prefeito Municipal de Capivari, para que, através do Serviço Autônomo de Água e Esgoto - SAAE, sobre falta de abastecimento de água no bairro Vila Cardoso.",Aprovada,Ordinário,VINÍCIUS SCARSO
00337/2024,08/02/2024,Moção de Congratulações pelos 40 anos de fundação da Escola Alegria de Crescer.,Aprovada,Ordinário,DENILTON ROCHA DOS SANTOS
00336/2024,08/02/2024,Moção de Congratulações pelos 10 anos de fundação do Empório Armazém da Terra.,Aprovada,Ordinário,THIAGO JUNIOR ANESIO BRAGGION
00335/2024,08/02/2024,"Moção de Aplausos à atriz Cláudia Raia pela produção e protagonização da peça “Tarsila, a brasileira”.",Aprovada,Ordinário,THIAGO JUNIOR ANESIO BRAGGION
00322/2024,07/02/2024,"Solicita a a manutenção e ou revitalização e limpeza da Praça Dona Julieta, na Avenida Doutor Rodrigues Alves.",Aprovada,Ordinário,JEISELE RENATA ROSADA
00320/2024,07/02/2024,"Solicita a limpeza e retirada de entulhos na Rua Lino Capossoli, no bairro Engenho Velho",Aprovada,Ordinário,NELSON DE SOUSA SOARES
00315/2024,07/02/2024,"Solicita a manutenção, limpeza e calçamento na parte final do muro Cemitério Municipal",Aprovada,Ordinário,ODÉSIO DE JESUS FERRAZ
00314/2024,07/02/2024,"Solicita a manutenção e limpeza nos dois lados da Avenida Pio XII, nas proximidades do parque ecológico",Aprovada,Ordinário,ODÉSIO DE JESUS FERRAZ
00311/2024,07/02/2024,"Solicita a construção de um ""sarjetão"" na esquina da Rua Noel Rosa com a Rua Machado de Assis, no bairro Morada do Sol",Aprovada,Ordinário,ODÉSIO DE JESUS FERRAZ
00310/2024,07/02/2024,"Solicita a construção de um ""sarjetão"" na esquina da Rua Noel Rosa com a Rua Mário Pagotto",Aprovada,Ordinário,ODÉSIO DE JESUS FERRAZ
00309/2024,07/02/2024,"Solicita a instalação de redutor de velocidade na Rua Mário Stênico, no bairro São José",Aprovada,Ordinário,ODÉSIO DE JESUS FERRAZ
00308/2024,07/02/2024,"Solicita a instalação de redutor de velocidade na Rua Antônio Pelegrini, no bairro Santa Maria",Aprovada,Ordinário,ODÉSIO DE JESUS FERRAZ
00305/2024,07/02/2024,"Solicita a poda de árvores em toda a extensão da Rua Érico Veríssimo, no bairro Morada do Sol",Aprovada,Ordinário,ODÉSIO DE JESUS FERRAZ
00304/2024,07/02/2024,"Solicita a poda de árvores em toda a extensão da Rua Pedro Alves, no bairro São Marcos",Aprovada,Ordinário,ODÉSIO DE JESUS FERRAZ
00299/2024,07/02/2024,"Solicita a manutenção e limpeza do terreno localizado na esquina da Rua Noel Rosa com a Rua Antônio Ribeiro dos Santos, no bairro Morada do Sol",Aprovada,Ordinário,ODÉSIO DE JESUS FERRAZ
00294/2024,07/02/2024,"Solicita a manutenção e limpeza do terreno localizado na esquina da Rua Vinícius de Moraes com a Rua Antônio Ribeiro dos Santos, no bairro Morada do Sol",Aprovada,Ordinário,ODÉSIO DE JESUS FERRAZ
00288/2024,07/02/2024,"Solicita a manutenção e limpeza do terreno localizado na esquina da Rua Vinícius de Moraes com a Rua José Aprilante, no bairro Porto Alegre",Aprovada,Ordinário,ODÉSIO DE JESUS FERRAZ
00285/2024,07/02/2024,"Solicita a manutenção e limpeza do terreno localizado na esquina da Rua Victório Jacinto Bachiega com a Rua João Annicchino, no bairro Porto Alegre",Aprovada,Ordinário,ODÉSIO DE JESUS FERRAZ
00307/2024,07/02/2024,"Altera a Lei Municipal nº 6.758, de 20 de dezembro de 2023, como especifica.",Protocolado,Ordinário,Poder Executivo
00306/2024,07/02/2024,"Altera a Lei Municipal nº 6.542, de 2 de maio de 2023, como especifica.",Protocolado,Ordinário,Poder Executivo
00303/2024,07/02/2024,"Fica o Poder Executivo expressamente autorizado a abrir na Contadoria o Serviço Autônomo de Água de Esgoto - SAAE, um crédito adicional - especial, como especifica.",Protocolado,Ordinário,Poder Executivo
00302/2024,07/02/2024,"Fica o Poder Executivo expressamente autorizado a abrir na Contadoria Municipal, um crédito adicional - especial, como especifica.",Protocolado,Ordinário,Poder Executivo
00301/2024,07/02/2024,"Fica o Poder Executivo expressamente autorizado a abrir na Contadoria Municipal, um crédito adicional - suplementar, como especifica.",Protocolado,Ordinário,Poder Executivo
00300/2024,07/02/2024,"Fica o Poder Executivo expressamente autorizado a abrir na Contadoria Municipal, um crédito adicional - suplementar, como especifica.",Protocolado,Ordinário,Poder Executivo
00298/2024,07/02/2024,"Fica o Poder Executivo expressamente autorizado a abrir na Contadoria Municipal, um crédito adicional - especial, como especifica.",Protocolado,Ordinário,Poder Executivo
00297/2024,07/02/2024,"Fica o Poder Executivo expressamente autorizado a abrir na Contadoria Municipal, um crédito adicional - suplementar, como especifica.",Protocolado,Ordinário,Poder Executivo
00296/2024,07/02/2024,"Fica o Poder Executivo expressamente autorizado a abrir na Contadoria Municipal, um crédito adicional - especial, como especifica.",Protocolado,Ordinário,Poder Executivo
00295/2024,07/02/2024,"Fica o Poder Executivo expressamente autorizado a abrir na Contadoria Municipal, um crédito adicional - especial, como especifica.",Protocolado,Ordinário,Poder Executivo
00293/2024,07/02/2024,"Fica o Poder Executivo expressamente autorizado a abrir na Contadoria Municipal, um crédito adicional - especial, como especifica.",Protocolado,Ordinário,Poder Executivo
00291/2024,07/02/2024,"Fica o Poder Executivo expressamente autorizado a abrir na Contadoria Municipal, um crédito adicional - especial, como especifica.",Protocolado,Ordinário,Poder Executivo
00290/2024,07/02/2024,"Fica o Poder Executivo expressamente autorizado a abrir na Contadoria Municipal, um crédito adicional - especial, como especifica.",Protocolado,Ordinário,Poder Executivo
00289/2024,07/02/2024,"Fica o Poder Executivo expressamente autorizado a abrir na Contadoria Municipal, um crédito adicional - especial, como especifica.",Protocolado,Ordinário,Poder Executivo
00287/2024,07/02/2024,"Fica o Poder Executivo expressamente autorizado a abrir na Contadoria Municipal, um crédito adicional - especial, como especifica.",Protocolado,Ordinário,Poder Executivo
00286/2024,07/02/2024,"Fica o Poder Executivo expressamente autorizado a abrir na Contadoria Municipal, um crédito adicional - especial, como especifica.",Protocolado,Ordinário,Poder Executivo
00281/2024,07/02/2024,"Fica o Poder Executivo expressamente autorizado a abrir na Contadoria Municipal, um crédito adicional especial, como especifica",Protocolado,Ordinário,Poder Executivo
00280/2024,07/02/2024,"Fica o Poder Executivo expressamente autorizado a abrir na Contadoria Municipal, um crédito adicional - especial, como especifica.",Protocolado,Ordinário,Poder Executivo
00279/2024,07/02/2024,"Fica o Poder Executivo expressamente autorizado a abrir na Contadoria Municipal, um crédito adicional - suplementar, como especifica.",Protocolado,Ordinário,Poder Executivo
00312/2024,07/02/2024,"Ao Excelentíssimo Prefeito Municipal de Capivari, para que, através da Secretaria competente, informe se existe estudos para colocar cobertura e banco nos pontos de ônibus localizados na Rua Caetano Favotto, no Bairro Jardim Branyl,",Tramitando,Ordinário,JEISELE RENATA ROSADA
00278/2024,07/02/2024,"Altera os Anexos V e VI da Lei nº 6.741/2023, de 14 de dezembro de 2023, que altera dispositivos da Lei nº 6.583/2023, de 27 de junho de 2023, e suas alterações até a Lei nº 6.780/2024, de 30 de janeiro de 2024, que dispõem sobre as Diretrizes Orçamentárias para o Exercício de 2024.",Protocolado,Ordinário,Poder Executivo
00292/2024,07/02/2024,"Ao Excelentíssimo Prefeito Municipal de Capivari, para que, através da Secretaria competente, informe se existe projetos para reformar a Praça Dona Julieta, na Avenida Doutor Rodrigues Alves. Se sim, qual a previsão para o início das obras?",Aprovada,Ordinário,JEISELE RENATA ROSADA
00277/2024,07/02/2024,"Altera os Anexos II e III da Lei nº 6.740/2023, de 14 de dezembro de 2023, que altera dispositivos da Lei nº 6.027/2021, de 6 de julho de 2021, e suas alterações até a Lei nº 6.779/2024, de 30 de janeiro de 2024, que dispõe sobre o Plano Plurianual do Município de Capivari para o período de 2022 a 2025",Protocolado,Ordinário,Poder Executivo
00282/2024,07/02/2024,"Ao Excelentíssimo Prefeito Municipal de Capivari, para que, através da Secretaria de Educação informe sobre a possibilidade de terceirizar os serviços de transporte escolar?",Aprovada,Ordinário,"PALOMA TATIANE DA SILVA, DENILTON ROCHA DOS SANTOS"
00276/2024,07/02/2024,"Ao Excelentíssimo Prefeito Municipal de Capivari, para que, através da Secretaria competente, se existe estudos para criar um Projeto de Lei assegurando a distribuição gratuita de medidor contínuo de glicose (glicemia) as pessoas com diabetes.",Tramitando,Ordinário,PALOMA TATIANE DA SILVA
00275/2024,07/02/2024,"Ao Excelentíssimo Prefeito Municipal de Capivari, para que, através da Secretaria competente, informe se existe algum concurso vigente ou em andamento para chamar odontopediatria com formação para atendimento das crianças com deficiência.",Tramitando,Ordinário,PALOMA TATIANE DA SILVA
00274/2024,07/02/2024,"Ao Excelentíssimo Prefeito Municipal de Capivari, para que, através da Secretaria competente, informações sobre concurso vigente para a vaga de Odontopediatria.",Tramitando,Ordinário,PALOMA TATIANE DA SILVA
00273/2024,07/02/2024,"Ao Excelentíssimo Prefeito Municipal de Capivari, para que, através da Secretaria competente, envie a esta Casa informações sobre alunos matriculados na rede municipal de educação que possuem alguma deficiência?",Tramitando,Ordinário,"PALOMA TATIANE DA SILVA, DENILTON ROCHA DOS SANTOS"
00272/2024,07/02/2024,"Ao Excelentíssimo Prefeito Municipal de Capivari, para que, através da Secretaria competente, envie a esta Casa informações sobre tratativas para a construção de uma creche no Bairro Alto do Castelani?",Tramitando,Ordinário,"DENILTON ROCHA DOS SANTOS, PALOMA TATIANE DA SILVA"
00271/2024,07/02/2024,"Ao Excelentíssimo Prefeito Municipal de Capivari, para que, através da Secretaria competente, informe qual a previsão para a entrega das obras da reforma da Creche Guerino Padovani, no Bairro Padovani.",Aprovada,Ordinário,"DENILTON ROCHA DOS SANTOS, PALOMA TATIANE DA SILVA"
00270/2024,07/02/2024,"Ao Excelentíssimo Prefeito Municipal de Capivari, para que, através da Secretaria de Mobilidade Urbana informe, quando será disponibilizado novamente as vagas para idosos e pessoas com deficiência através de demarcação de solo nas ruas próximas ao centro da cidade.",Aprovada,Ordinário,"DENILTON ROCHA DOS SANTOS, PALOMA TATIANE DA SILVA"
00269/2024,07/02/2024,"Excelentíssimo Prefeito Municipal de Capivari, para que, através da Secretaria competente, informe o motivo para a retirada a demarcação de vagas de estacionamento especial para idosos e Pessoas com Deficiência, nas vias próximas ao centro da cidade?",Aprovada,Ordinário,"PALOMA TATIANE DA SILVA, DENILTON ROCHA DOS SANTOS"
00268/2024,07/02/2024,"Ao Excelentíssimo Prefeito Municipal de Capivari, para que, através da Secretaria competente, envie a esta Casa, uma planilha contendo uma lista com os nomes de todos os motoristas constando ainda as referências e suas respectivas Secretarias.",Aprovada,Ordinário,THIAGO JUNIOR ANESIO BRAGGION
00267/2024,07/02/2024,"Ao Excelentíssimo Prefeito Municipal de Capivari, para que, através da Secretaria competente, envie a esta Casa, uma planilha contendo informações sobre todos cargos existentes na prefeitura e suas respectivas referências.",Tramitando,Ordinário,THIAGO JUNIOR ANESIO BRAGGION
00265/2024,06/02/2024,"Solicita a instalação de cobertura em frente ou no pátio do Centro de Especialidades, no bairro Jardim Branyl",Aprovada,Ordinário,JOSÉ EDUARDO BOMBONATTI
00264/2024,06/02/2024,Solicita que seja agilizada a revitalização da Avenida Dr. Ênio Pires de Camargo,Aprovada,Ordinário,JOSÉ EDUARDO BOMBONATTI
00263/2024,06/02/2024,"Solicita a instalação de uma placa de trânsito indicando a direção do Centro de Especialidades na Avenida Josefina Giovana Rossi, esquina com a Avenida Vereador Alcides Vieira, no bairro Jardim Branyl",Aprovada,Ordinário,JOSÉ EDUARDO BOMBONATTI
00262/2024,06/02/2024,"Solicita a instalação de uma placa de trânsito na esquina entre a Rua Silvio Girardi com Avenida Vereador Alcides Vieira no bairro Jardim
Branyl, indicando a direção do Centro de Especialidades",Aprovada,Ordinário,JOSÉ EDUARDO BOMBONATTI
00261/2024,06/02/2024,"Solicita a instalação de um ponto de ônibus na Avenida Vereador Alcides Vieira, no Bairro Jardim Branyl, próximo ao numero 181",Aprovada,Ordinário,JOSÉ EDUARDO BOMBONATTI
00260/2024,06/02/2024,Solicita a instalação de um ponto de ônibus em frente ao centro de especialidades no bairro Jardim Branyl,Aprovada,Ordinário,JOSÉ EDUARDO BOMBONATTI
00159/2024,05/02/2024,Solicita melhoria na valeta no cruzamento entre a Rua General Osório e Rua Santa Maria,Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00156/2024,05/02/2024,"Solicita recapeamento na Rua Dr. João Adolfo Stein, entre a Rua Sinharinha Frota e a Rua General Osório.",Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00155/2024,05/02/2024,"Solicita recapeamento na Rua Sinharinha Frota, da Avenida Pio XII até a Rua Constituição.",Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00086/2024,01/02/2024,"Solicita a instalação de braço de iluminação com lâmpada na Rua Luís Carrara, no Bairro São Domingos.",Aprovada,Ordinário,JOSÉ EDUARDO BOMBONATTI
00089/2024,01/02/2024,Solicita informações ao Excelentíssimo Prefeito Municipal de Capivari sobre os locais de obrigação do município na manutenção e trocas de lâmpadas,Aprovada,Ordinário,JOSÉ EDUARDO BOMBONATTI
00088/2024,01/02/2024,Solicita informações ao Excelentíssimo Prefeito Municipal de Capivari sobre a atribuição de instalação e novos braços de iluminação.,Tramitando,Ordinário,JOSÉ EDUARDO BOMBONATTI
00087/2024,01/02/2024,"Solicita informações ao Excelentíssimo Prefeito Municipal e Capivari sobre braços de luz para a Rua Luiz Carrara, no bairro São Domingos.",Aprovada,Ordinário,JOSÉ EDUARDO BOMBONATTI
00085/2024,01/02/2024,"Dispõe sobre a criação de gratificação aos membros das Comissões Permanentes de Sindicância, Agente de Contratação, Pregoeiro, Membros de Equipe de Apoio, Membros da Comissão de Contratação e Gestor de Contratos no âmbito da Câmara Municipal de Capivari, e dá outras providências, conforme especifica.",Aprovada,Ordinário,"THIAGO JUNIOR ANESIO BRAGGION, JOSÉ EDUARDO DE CAMPOS PACHECO, JEISELE RENATA ROSADA, RUAN HENRIQUE PELLEGRINI BRAGGION"
00084/2024,01/02/2024,"Dispõe sobre a criação das funções gratificadas de Responsável pelo Almoxarifado e de Responsável por Compras na Câmara Municipal de Capivari e dá outras providências, conforme especifica.",Aprovada,Ordinário,"THIAGO JUNIOR ANESIO BRAGGION, JOSÉ EDUARDO DE CAMPOS PACHECO, JEISELE RENATA ROSADA, RUAN HENRIQUE PELLEGRINI BRAGGION"
00075/2024,31/01/2024,"Solicita a instalação de braço de iluminação com lâmpada na Rua México, altura do nº 79, no Bairro Santo Antônio.",Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00074/2024,31/01/2024,Solicita estudos para conceder isenção de pagamento de taxa do Estacionamento Rotativo - Zona Azul para idosos e pessoas com deficiência.,Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00073/2024,31/01/2024,"Solicita a demarcação de vagas de estacionamento para Pessoas com Deficiência, na Rua XV de Novembro, próximo a Loja Cem.",Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00082/2024,31/01/2024,"Solicita informações ao Excelentíssimo Prefeito Municipal de Capivari, sobre o mapeamento completo com imagens, de todos os pontos de alagamento causados pelas enchentes registradas em 2022, constando o limite máximo que a água chegou em cada local.",Aprovada,Ordinário,DENILTON ROCHA DOS SANTOS
00081/2024,31/01/2024,"Solicitando informações ao Excelentíssimo Prefeito Municipal de Capivari, sobre a aplicação da Lei Municipal nº 4.793 /2015, que dispõe sobre a divulgação da relação de medicamentos que compõem os estoques da rede municipal de saúde de Capivari.",Aprovada,Ordinário,INÊS LUIZA FELIX DA COSTA
00080/2024,31/01/2024,"Solicitando informações ao Excelentíssimo Prefeito Municipal de Capivari, sobre a existência de placas com a Lei Estadual nº 16.729/2018, nas unidades de saúde.",Aprovada,Ordinário,INÊS LUIZA FELIX DA COSTA
00079/2024,31/01/2024,"Solicita informações ao Excelentíssimo Prefeito Municipal de Capivari, sobre instalação de toldo na Escola Professora Ana Aparecida Rufino Dias, no Bairro Porto Alegre;",Aprovada,Ordinário,PALOMA TATIANE DA SILVA
00078/2024,31/01/2024,"Solicita informações ao Excelentíssimo Prefeito Municipal de Capivari, sobre a existência de um cronograma de recape ou tapa-buraco na Avenida Brigadeiro Faria Lima, na altura do Bairro Vila Di Capri.",Aprovada,Ordinário,MARCOS SABINO FERNANDES
00076/2024,31/01/2024,"Solicita informações ao Excelentíssimo Prefeito Municipal de Capivari, sobre o Programa Desenvolve São Paulo.",Aprovada,Ordinário,JOSÉ EDUARDO DE CAMPOS PACHECO
00066/2024,30/01/2024,Solicita a operação tapa-buraco em todas as ruas do Bairro Jardim Elisa.,Aprovada,Ordinário,MARCOS SABINO FERNANDES
00334/2024,30/01/2024,"Projeto de Lei nº 016/2024, do Poder Executivo Municipal, que altera o Anexo II da Lei nº 3.974/2012, de 13 de março de 2012, que dispõe sobre a alteração da Estrutura Organizacional da Secretaria Municipal da Educação do Município de Capivari para criar Função de Confiança",Tramitando,Ordinário,Poder Executivo
00072/2024,30/01/2024,"Moção de Pesar, pelo falecimento da senhora Jacyana de Cassia Uvini Bortolança.",Aprovada,Ordinário,JOSÉ EDUARDO DE CAMPOS PACHECO
00071/2024,30/01/2024,"MOÇÃO DE APLAUSOS, ao Governador do Estado de São Paulo, senhor Tarcísio de Feitas, pela criação do Protocolo “Não se Cale”.",Aprovada,Ordinário,INÊS LUIZA FELIX DA COSTA
00070/2024,30/01/2024,"MOÇÃO DE APLAUSOS, ao Governador do Estado de São Paulo, senhor Tarcísio de Feitas, pela aprovação do Projeto de Lei que dobra o repasse de ICMS Ambiental para os municípios que têm áreas de preservação e cobertura vegetal nativa.",Aprovada,Ordinário,INÊS LUIZA FELIX DA COSTA
00069/2024,30/01/2024,"Moção de Congratulações, à Empresa Metalvis, pelos 40 anos de fundação.",Aprovada,Ordinário,THIAGO JUNIOR ANESIO BRAGGION
00068/2024,30/01/2024,"Moção de Aplausos, ao atleta Esron Keller Daragone pela conquista do segundo lugar no ranking nacional de atletas da temporada 2023.",Aprovada,Ordinário,VINÍCIUS SCARSO
00067/2024,30/01/2024,"Moção de Aplausos à Auto Viação MM Souza Turismo Ltda, pela distribuição de brinquedos no Natal de 2023.",Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00055/2024,25/01/2024,"Solicita a manutenção e a limpeza do terreno localizado na esquina da Rua Brasilio Ferraz com a Rua Doutor Rolando Bolsonaro, no Bairro Santa Rita de Cássia, (trevo).",Aprovada,Ordinário,NELSON DE SOUSA SOARES
00053/2024,25/01/2024,"Solicita a limpeza e a retirada de árvores e galhos secos, existente na Rua Doutor Antônio Benjamin Jacovelli, na altura do número 1.427, no Bairro Ribeirão.",Aprovada,Ordinário,JOSÉ EDUARDO BOMBONATTI
00052/2024,25/01/2024,Solicita a implantação de câmeras de segurança no Cemitério São João Batista.,Aprovada,Ordinário,NELSON DE SOUSA SOARES
00051/2024,25/01/2024,"Solicita a revitalização da Praça Nossa Senhora, na Vila Fátima.",Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00050/2024,25/01/2024,Solicita a instalação de uma área de lazer no Bairro Vila de Capri.,Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00049/2024,25/01/2024,"Solicita a instalação de câmera de monitoramento no antigo leito da Fepasa, especificamente na altura da Avenida Brigadeiro Faria Lima, para inibir o descarte irregular de lixo.",Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00048/2024,25/01/2024,"Solicita o cascalhamento na linha da Fepasa, entre a rotatória de Rafard (Avenida Pio XII) e a Avenida Brigadeiro Faria Lima.",Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00047/2024,25/01/2024,Solicita a pintura de solo “Pare” em todas as ruas do Bairro Vila Fátima.,Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00046/2024,25/01/2024,"Solicita o recapeamento em toda extensão da Rua Hermantino Corrêa Galrão, no Bairro Nova Aparecida.",Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00045/2024,25/01/2024,"Solicita a revitalização do campo localizado na: Rua Estados Unidos, n° 100, Bairro Jardim Santo Antônio, “Centro Esportivo José Antonelli Neto” (Campinho do FIFI).",Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00044/2024,25/01/2024,Solicita a instalação de placas de identificação de ruas em todas as esquinas do Bairro Santo Antônio.,Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00043/2024,25/01/2024,Solicita a repintura de solo “Pare” em todos cruzamentos do Bairro Santo Antônio.,Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00042/2024,25/01/2024,"Solicita a reforma e melhorias gerais na Escola Municipal de Educação Infantil Benedita Gonçalves Quagliato, do Bairro Santo Antônio.",Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00041/2024,25/01/2024,"Solicita a revitalização da rotatória John Kennedy, no Bairro Santo Antônio.",Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00040/2024,25/01/2024,"Solicita a implantação de área de lazer, na área verde localizada na Rua Equador, no Bairro Santo Antônio.",Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00039/2024,25/01/2024,"Solicita o recapeamento em toda extensão da Rua Venezuela, no Bairro Santo Antônio",Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00038/2024,25/01/2024,"Solicita o recapeamento em toda extensão da Rua Guilherme Stênico, no Bairro Santo Antônio.",Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00037/2024,25/01/2024,"Solicita o recapeamento em toda extensão da Rua João Forner, no Bairro Santo Antônio.",Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00036/2024,25/01/2024,"Solicita o recapeamento em toda extensão da Rua Chile, no Bairro Santo Antônio.",Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
